Company Names,Cars Names,Engines,CC/Battery Capacity,Horse Power Final,Total Speed,Performance(0 - 100 )KM/H,Car Prices Final,Fuel Types,Seats,Torque Final
Bugatti,La Voiture Noire,8.0L Quad-Turbo W16,7993,1500,420,2.5,18000000,Petrol,2,1600
Bugatti,Centodieci,8.0L Quad-Turbo W16,7993,1600,380,2.4,9000000,Petrol,2,1600
Mazda,787B (Race Car),2.6L Wankel Rotary Engine,2620,700,320,3.5,6000000,Petrol,1,500
Bugatti,Divo,8.0L Quad-Turbo W16,7993,1500,380,2.4,5800000,Petrol,2,1600
Bugatti,Mistral,8.0L Quad-Turbo W16,7993,1600,420,2.4,5000000,Petrol,2,1600
Bugatti,Bolide,8.0L Quad-Turbo W16,7993,1850,500,2.2,4500000,Petrol,2,1600
Lamborghini,VENENO ROADSTER,V12,6498,750,356,2.9,4500000,Petrol,2,690
Bugatti,Chiron Super Sport,8.0L Quad-Turbo W16,7993,1600,490,2.4,3500000,Petrol,2,1600
Bugatti,Chiron Pur Sport,8.0L Quad-Turbo W16,7993,1500,350,2.3,3300000,Petrol,2,1600
Bugatti,Chiron Sport,8.0L Quad-Turbo W16,7993,1500,420,2.4,3300000,Petrol,2,1600
Bugatti,Chiron Noire,8.0L Quad-Turbo W16,7993,1500,420,2.5,3300000,Petrol,2,1600
Aston Martin,VALKYRIE,V12,6496,1160,402,2.5,3200000,Hybrid,2,900
Bugatti,Chiron,8.0L Quad-Turbo W16,7993,1500,420,2.5,3000000,Petrol,2,1600
Lamborghini,SIAN,V12,6498,819,350,2.8,2800000,Hybrid,2,720
Ferrari,MONZA SP2,V12,6496,789,340,2.9,1700000,Petrol,2,719
Aston Martin,VICTOR,V12,5204,836,320,2.8,1300000,Petrol,2,821
Aston Martin,LAGONDA TARAF,V12,5935,540,314,4.2,1100000,Petrol,4,630
Aston Martin,VALHALLA,V8,3996,1000,362,2.5,1100000,Hybrid,2,1000
Ferrari,SF90 STRADALE,V8,3990,963,340,2.5,1100000,Plug-in Hybrid,2,800
Nissan,GT-R50 by Italdesign,3.8L Twin-Turbo V6,3799,,315,2.5,1100000,Petrol,2,780
Nissan,R390 GT1 Road Car,3.5L Twin-Turbo V8,3495,,354,3.3,1000000,Petrol,2,637
Porsche,911 RSR (Motorsport Edition),4.2L Naturally Aspirated Flat-6,4194,515,296,3.1,750000,Petrol,1,480
Lamborghini,AVENTADOR SVJ XAGO,V12,6498,759,350,2.9,603000,Petrol,2,720
Nissan,GT-R LM NISMO,3.0L Twin-Turbo V6 Hybrid,3000,,320,3,600000,Hybrid,2,650
Lamborghini,AVENTADOR SVJ ROADSTER,V12,6498,759,350,2.9,573000,Petrol,2,720
Lamborghini,AVENTADOR LP 780-4 ULTIMATE ROADSTER,V12,6498,769,355,2.8,573000,Petrol,2,720
Lamborghini,AVENTADOR ULTIMAE,V12,6498,769,355,2.8,545000,Petrol,2,720
Lamborghini,AVENTADOR LP 780-4 ULTIMATE,V12,6498,769,355,2.8,545000,Petrol,2,720
Lamborghini,AVENTADOR SVJ,V12,6498,759,350,2.8,518000,Petrol,2,720
Rolls Royce,PHANTOM CELESTIAL,V12,6749,563,250,5.3,515000,Petrol,5,900
Rolls Royce,PHANTOM EXTENDED,V12,6749,563,250,5.3,500000,Petrol,5,900
Ford,GT,3.5L Twin-Turbo V6,3500,660,348,3,500000,Petrol,2,746
McLaren,Mclaren 720s,V8,3994,710,341,2.9,499000,Petrol,2,770
Rolls Royce,PHATOM ORCHID,V12,6749,563,250,5.3,495000,Petrol,5,900
Lamborghini,AVENTADOR SV,V12,6498,740,350,2.8,493000,Petrol,2,690
Rolls Royce,PHATOM TRANQUILITY,V12,6749,563,250,5.3,475000,Petrol,5,900
Rolls Royce,PHANTOM,V12,6749,563,250,5.3,460000,Petrol,5,900
Rolls Royce,PHANTOM COUPE,V12,6749,563,250,5.3,450000,Petrol,4,870
Lamborghini,AVENTADOR ROADSTER,V12,6498,700,350,3,445000,Petrol,2,690
Rolls Royce,DAWN BLACK BADGE ADAMAS,V12,6592,563,250,4.8,439000,Petrol,4,840
Rolls Royce,CULLINAN RED DIAMOND,V12,6749,563,250,5.1,421000,Petrol,5,850
Lamborghini,AVENTADOR S,V12,6498,740,350,2.9,421000,Petrol,2,690
Rolls Royce,DAWN SILVER BULLET,V12,6592,563,250,4.8,418000,Petrol,4,840
Rolls Royce,CULLINAN FUX ORANGE,V12,6749,563,250,5.1,401000,Petrol,5,850
Rolls Royce,DAWN BLACK BADGE VOLANTE,V12,6592,563,250,4.8,398000,Petrol,4,840
Rolls Royce,DAWN BLACK BADGE,V12,6592,624,250,4.8,390000,Petrol,4,870
Rolls Royce,WRAITH LUMINARY,V12,6592,623,250,4.5,389000,Petrol,4,800
Rolls Royce,CULLINAN BLACK BADGE SUV,V12,6749,563,250,5.1,381000,Petrol,5,850
Rolls Royce,DAWN CONVERTIBLE,V12,6592,624,250,4.9,380000,Petrol,4,870
Rolls Royce,GHOST MYSORE,V12,6749,563,250,4.9,375000,Petrol,5,900
Rolls Royce,GHOST EXTENDED,V12,6592,591,250,4.8,370000,Petrol,5,850
Rolls Royce,WRAITH KRYPTOS,V12,6592,623,250,4.5,369000,Petrol,4,800
Rolls Royce,DAWN,V12,6592,624,250,4.9,360000,Petrol,4,870
Rolls Royce,WRAITH BLACK BADGE,V12,6592,624,250,4.3,360000,Petrol,4,870
Rolls Royce,GHOST AZURE,V12,6749,563,250,4.9,355000,Petrol,5,900
Rolls Royce,CULLINAN BLACK BADGE,V12,6749,563,250,5.1,350000,Petrol,5,850
Ferrari,812 GTS,V12,6496,789,340,2.9,350000,Petrol,2,718
Rolls Royce,WRAITH EAGLE VIII,V12,6592,623,250,4.5,349000,Petrol,4,800
Lamborghini,HURACAN STO EVO,V10,5204,640,325,3,342000,Petrol,2,565
Rolls Royce,GHOST COUPE,V12,6592,591,250,4.8,340000,Petrol,4,850
Rolls Royce,GHOST ZENITH,V12,6749,563,250,4.9,335000,Petrol,5,900
Rolls Royce,GHOST,V12,6592,591,250,4.8,332000,Petrol,5,850
Rolls Royce,WRAITH,V12,6592,624,250,4.4,330000,Petrol,4,870
Rolls Royce,WRAITH COUPE,V12,6592,624,250,4.4,330000,Petrol,4,870
Lamborghini,HURACAN STO,V10,5204,640,325,3,327000,Petrol,2,565
Rolls Royce,CULLINAN,V12,6749,563,250,5.2,325000,Petrol,5,850
Rolls Royce,CULLINAN SUV,V12,6749,563,250,5.2,320000,Petrol,5,850
Aston Martin,DBS SUPERLEGGERA,V12,5204,715,340,3.4,316000,Petrol,2,900
Bentley,Continental GT Azure,V8,3996,550,318,4,311000,Petrol,4,900
Lamborghini,HURACAN  PERFORMANTE SPYDER,V10,5204,640,325,3.1,308000,Petrol,2,600
Aston Martin,VANQUISH,V12,5935,580,324,3.6,294000,Petrol,2,630
Porsche,911 GT2 RS,3.8L Twin-Turbo Flat-6,3745,700,340,2.8,293200,Petrol,2,750
Porsche,Panamera Turbo S Exclusive Series,4.0L Twin-Turbo V8,3996,570,310,3.8,290000,Petrol,4,800
Lamborghini,HURACAN SPYDER,V10,5204,610,325,3.4,287000,Petrol,2,600
Lamborghini,HURACAN EVO SPYDER,V10,5204,640,325,3.1,287000,Petrol,2,600
Ferrari,F8 TRIBUTO,V8,3900,710,340,2.9,280000,Petrol,2,770
Ferrari,F8 SPIDER,V8,3900,710,340,2.9,280000,Petrol,2,770
Lamborghini,HURACAN PERFORMANTE,V10,5204,640,325,2.9,274000,Petrol,2,600
Lamborghini,HURACAN EVO RWD SPYDER,V10,5204,610,325,3.3,273000,Petrol,2,600
Lamborghini,URUS S,V8,3996,671,305,3.3,263000,Petrol,5,850
Lamborghini,HURACAN EVO,V10,5204,640,325,2.9,261000,Petrol,2,600
Porsche,911 Turbo Exclusive Series,3.8L Twin-Turbo Flat-6,3745,607,330,2.9,258000,Petrol,4,750
Lamborghini,HURACAN EVO RWD,V10,5204,610,325,3.3,258000,Petrol,2,560
Audi,AUDI R8 Gt,V10,5204,602,320,3.6,253290,Petrol,2,560
Lamborghini,URUS GRAPHITE CAPSULE,V8,3998,641,305,3.3,253000,Petrol,5,850
Porsche,911 GT3 Cup,4.0L Naturally Aspirated Flat-6,3996,510,290,3.4,245000,Petrol,1,470
Lamborghini,URUS PERFORMANTE,V8,3996,641,305,3.3,242000,Petrol,5,850
Porsche,911 GT3 RS,4.0L Naturally Aspirated Flat-6,3996,518,296,3.2,241300,Petrol,2,465
Aston Martin,RAPIDE AMR,V12,5935,580,328,4.2,240000,Petrol,4,630
Ferrari,ROMA SPIDER,V8,3900,612,320,3.4,240000,Petrol,4,760
Porsche,911 Dakar Sport,3.0L Twin-Turbo Flat-6,2981,473,240,3.5,233000,Petrol,4,570
Porsche,911 Turbo S,3.8L Twin-Turbo Flat-6,3745,640,330,2.6,230400,Petrol,4,800
Ferrari,ROMA,V8,3900,612,320,3.4,230000,Petrol,4,760
Porsche,911 GT3 RS Clubsport,4.0L Naturally Aspirated Flat-6,3996,525,296,3.2,223800,Petrol,2,465
Porsche,911 Dakar Limited Edition,3.0L Twin-Turbo Flat-6,2981,473,240,3.4,222000,Petrol,4,570
Porsche,911 GT4 RS,4.0L Naturally Aspirated Flat-6,3996,500,315,3.4,222000,Petrol,2,450
Porsche,911 Dakar,3.0L Twin-Turbo Flat-6,2981,473,240,3.4,222000,Petrol,2,570
Ferrari,PORTOFINO M,V8,3900,612,320,3.2,220000,Petrol,4,760
Nissan,GT-R NISMO,3.8L Twin-Turbo V6,3799,,330,2.9,220000,Petrol,2,652
Nissan,GT-R Egoist,3.8L Twin-Turbo V6,3799,,315,2.8,220000,Petrol,2,637
Lamborghini,URUS ,V8,3996,641,305,3.6,211000,Petrol,5,850
Ferrari,PORTOFINO,V8,3900,592,320,3.2,210000,Petrol,4,760
Aston Martin,DB11,V12,5204,600,322,3.9,208000,Petrol,4,700
Porsche,911 Turbo S Coupe,3.8L Twin-Turbo Flat-6,3745,640,330,2.7,207000,Petrol,4,800
Porsche,Panamera Turbo S E-Hybrid Sport Turismo,4.0L Twin-Turbo V8 + Electric Motor,3996,690,315,3.2,200200,Hybrid,4,870
Mercedes,BENZ MAYBACH S 680,V12,5980,630,250,4.7,200000,Petrol,5,1000
Tesla,Roadster 2,Quad Electric Motors,,1288,402,1.9,200000,Electric,4,10000
Porsche,911 Turbo,3.8L Twin-Turbo Flat-6,3745,572,320,2.7,197200,Petrol,4,750
Audi,R8 V10 PLUS,V10,5204,610,330,3.2,194000,Petrol,2,560
Aston Martin,VANTAGE F1,V8,3982,656,314,3.6,193440,Petrol,2,685
Porsche,911 Turbo Cabriolet Lightweight,3.8L Twin-Turbo Flat-6,3745,572,318,3,191300,Petrol,4,750
Porsche,Panamera Turbo S E-Hybrid,4.0L V8 + Electric Motor,,,315,3.2,190000,Petrol/Hybrid,4,870
